id,year,rent,price,lagged_ret,csf_1yr
0,2002,0.155299872,2.953245216,0.0290577,0
1,2003,0.154265525,2.973604261,0.007374749,0
2,2004,0.149684844,3.088183074,0.027943635,0
3,2005,0.147098975,3.212704675,0.033499425,0
4,2006,0.149093788,3.301479582,0.0191585,0
5,2007,0.151683351,3.269047149,-0.022515417,3.0633261
6,2008,0.152889104,3.116827777,-0.060540227,2.817123693
7,2009,0.154866924,3.004616295,-0.059851132,3.058591438
8,2010,0.155302828,3.058591438,0.010400252,2.840797001
9,2011,0.157824419,2.982126652,-0.040712074,2.812389031
10,2012,0.161971413,3.102623792,0.019925379,3.257447228
11,2013,0.16841983,3.394042217,0.075690523,3.65989347
12,2014,0.176407947,3.654922075,0,3.854014599
